Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Cuidados PLA (product.metafields.custom.cuidados_pla),Material PLA (product.metafields.custom.material),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Material (product.metafields.shopify.material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Mexico,Price / Mexico,Compare At Price / Mexico,Status
tapa-ensaladera-compostable-pla,,,,,,,,,24/32/48 oz.,,,50 pzs.,,,,,032PLAP,4000.0,shopify,deny,manual,336.98,,true,false,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,kg,,266.33,,,,
tapa-ensaladera-compostable-pla,,,,,,,,,24/32/48 oz.,,,600 pzs.,,,,,032PLA,200.0,shopify,deny,manual,4472.73,,true,false,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,g,,3440.56,,,,
ensaladera-compostable-pla,Ensaladera compostable - PLA,"<meta charset=""utf-8"">
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">ENSALADERA COMPOSTABLE BIODEGRADABLE FABRICADA CON PLA</strong></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"" data-mce-fragment=""1"">Los contenedores XICOPACK están hechos de plantas y no de petróleo. Es una diferencia que importa a los consumidores. Brindan claridad cristalina, calidad superior y durabilidad.</span></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"" data-mce-fragment=""1"">Disponibles en una amplia gama de tamaños, son la elección correcta para su negocio.</span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">MATERIAL</strong></p>
<p data-mce-fragment=""1"">Fabricado con PLA (Polylactic Acid)<br data-mce-fragment=""1""><br data-mce-fragment=""1"">El PLA está hecho de ácido láctico. El ácido láctico se obtiene a partir de la dextrosa por fermentación. La dextrosa está hecha de almidón, y el almidón se produce a partir de fuentes vegetales renovables anualmente, como el maíz.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">El PLA es transparente y fuerte como el plástico a base de petróleo y se puede compostar en instalaciones municipales o industriales gestionadas activamente, que puede no estar disponible en su área.<br data-mce-fragment=""1""></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"" data-mce-fragment=""1"">CARACTERISTICAS Y BENEFICIOS</span></strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"" data-mce-fragment=""1"">Las fuentes vegetales para hacer vasos se renuevan anualmente</span></li>
<li data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"" data-mce-fragment=""1"">Claro como el cristal para una visibilidad completa del producto</span></li>
<li data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"" data-mce-fragment=""1"">Colocación y extracción de la tapa a presión resistente a las fugas</span></li>
<li data-mce-fragment=""1"">Dígales a sus clientes que se preocupa por el medio ambiente.</li>
<li data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-style=""font-weight: 400;"" data-mce-fragment=""1"">Certificado por BPI para ser 100% compostable en instalaciones industriales.</span></li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">DIMENSIONES CONTENEDOR </strong></p>
<table height=""178"" data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">Capacidad</td>
<td data-mce-fragment=""1"">Altura (cm)</td>
<td data-mce-fragment=""1"">Diámetro Superior (cm)</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<meta charset=""utf-8"">16 oz. (473 ml)</td>
<td data-mce-fragment=""1"">6.8<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"">13<br data-mce-fragment=""1"">
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<meta charset=""utf-8"">24 oz. (710 ml)</td>
<td data-mce-fragment=""1"">7<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"">17.2<br data-mce-fragment=""1"">
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<meta charset=""utf-8"">32 oz. (946 ml)</td>
<td data-mce-fragment=""1"">12<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"">17.2<br data-mce-fragment=""1"">
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">48 oz. (1,420 ml)</td>
<td data-mce-fragment=""1"">18.5<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"">17.2<br data-mce-fragment=""1"">
</td>
</tr>
</tbody>
</table>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span><br data-mce-fragment=""1""></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">CUIDADOS</strong></p>
<p data-mce-fragment=""1"">Rango de Temperatura: 40°F / 4° C a 105°F / 40°C<br data-mce-fragment=""1"">Mantener lejos de cualquier fuente de calor<br data-mce-fragment=""1"">Almacenar en lugares secos y lejos de los rayos del sol.<strong data-mce-fragment=""1""><br data-mce-fragment=""1""></strong></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">DIMENSIONES CAJA </strong></p>
<table height=""261"" data-mce-fragment=""1"" data-mce-selected=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" data-mce-selected=""1"">Vaso<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">Alto (cm)</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">Ancho (cm)</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">Largo (cm)</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">Peso (kg)</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" data-mce-selected=""1"">
<meta charset=""utf-8"">16 oz. (473 ml)</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">37.5<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">32<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">42.5<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">11<br data-mce-fragment=""1"">
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" data-mce-selected=""1"">
<meta charset=""utf-8"">24 oz. (710 ml)</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">56<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">37<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">54<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">11<br data-mce-fragment=""1"">
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" data-mce-selected=""1"">
<meta charset=""utf-8"">32 oz. (946 ml)</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">60<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">37<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">54<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">11<br data-mce-fragment=""1"">
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" data-mce-selected=""1"">
<meta charset=""utf-8"">
<span data-mce-fragment=""1"">48 oz. (1,420 ml)</span>
</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">53<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">39<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">36<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">9</td>
</tr>
</tbody>
</table>",xicopack,Business & Industrial > Food Service > Disposable Tableware > Disposable Plates,Ensaladera compostable,"Comida p/llevar, Contenedores, Ensaladera, PLA",true,Tamaño,16 oz (473 ml),,Cantidad,50 pzs.,,,,,027PLAP,200.0,shopify,deny,manual,329.46,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0666/4382/0842/products/IMG_0301.heic?v=1668050932,1,,false,Ensaladera compostable | Mayoreo México - Xicopack,Compre Ensaladera compostable hecho de PLA (Fécula de Maíz). Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo M...,,,,,,,,,,,,"Rango de Temperatura: 40°F / 4° C a 105°F / 40°C
Mantener lejos de cualquier fuente de calor
Almacenar en lugares secos y lejos de los rayos del sol.
","Fabricado con PLA (Polylactic Acid) 

El PLA está hecho de ácido láctico. El ácido láctico se obtiene a partir de la dextrosa por fermentación. La dextrosa está hecha de almidón, y el almidón se produce a partir de fuentes vegetales renovables anualmente, como el maíz. 

El PLA es transparente y fuerte como el plástico a base de petróleo y se puede compostar en instalaciones municipales o industriales gestionadas activamente, que puede no estar disponible en su área. ",,,,,g,,209.24,true,,,active
ensaladera-compostable-pla,,,,,,,,,16 oz (473 ml),,,450 pzs.,,,,,027PLA,200.0,shopify,deny,manual,2450.49,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0666/4382/0842/products/8c75f561-111a-44b4-a823-b733f775b06c.jpg?v=1668050932,2,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,g,,1885.00,,,,
ensaladera-compostable-pla,,,,,,,,,24 oz (710 ml),,,50 pzs.,,,,,028PLAP,4000.0,shopify,deny,manual,492.82,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0666/4382/0842/products/eaa9a1b0-ad3b-48cf-b4e2-4421a8c8f1c7.jpg?v=1668050932,3,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,kg,,323.40,,,,
ensaladera-compostable-pla,,,,,,,,,24 oz (710 ml),,,600 pzs.,,,,,028PLA,200.0,shopify,deny,manual,5065.38,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0666/4382/0842/products/IMG_0307.heic?v=1668050932,4,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,g,,3896.44,,,,
ensaladera-compostable-pla,,,,,,,,,32 oz (946 ml),,,50 pzs.,,,,,029PLAP,4000.0,shopify,deny,manual,539.68,,true,false,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,kg,,371.17,,,,
ensaladera-compostable-pla,,,,,,,,,32 oz (946 ml),,,600 pzs.,,,,,029PLA,200.0,shopify,deny,manual,5828.42,,true,false,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,g,,4483.40,,,,
ensaladera-compostable-pla,,,,,,,,,48 oz (1420 ml),,,50 pzs.,,,,,030PLAP,200.0,shopify,deny,manual,720.50,,true,false,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,g,,492.63,,,,
ensaladera-compostable-pla,,,,,,,,,48 oz (1420 ml),,,300 pzs.,,,,,030PLA,200.0,shopify,deny,manual,3834.84,,true,false,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,g,,2949.88,,,,
